Month,Price
1/1/1991,12.24
2/1/1991,12.9
3/1/1991,13.23
4/1/1991,13.23
5/1/1991,12.68
6/1/1991,11.35
7/1/1991,9.48
8/1/1991,9.92
9/1/1991,10.14
10/1/1991,10.14
11/1/1991,9.92
12/1/1991,10.91
1/1/1992,10.14
2/1/1992,10.25
3/1/1992,10.25
4/1/1992,10.47
5/1/1992,10.8
6/1/1992,10.91
7/1/1992,11.46
8/1/1992,12.57
9/1/1992,12.57
10/1/1992,12.57
11/1/1992,11.02
12/1/1992,11.24
1/1/1993,13.01
2/1/1993,13.12
3/1/1993,13.34
4/1/1993,13.34
5/1/1993,13.34
6/1/1993,13.34
7/1/1993,12.82
8/1/1993,12.52
9/1/1993,11.79
10/1/1993,11.9
11/1/1993,11.9
12/1/1993,12.02
1/1/1994,12.02
2/1/1994,12.02
3/1/1994,13.45
4/1/1994,13.61
5/1/1994,13.82
6/1/1994,14
7/1/1994,14.15
8/1/1994,14.38
9/1/1994,14.44
10/1/1994,14.88
11/1/1994,14.88
12/1/1994,14.88
1/1/1995,15.54
2/1/1995,15.65
3/1/1995,15.65
4/1/1995,15.65
5/1/1995,16.09
6/1/1995,16.09
7/1/1995,16.09
8/1/1995,15.32
9/1/1995,14.55
10/1/1995,13.67
11/1/1995,13.45
12/1/1995,13.34
1/1/1996,13.34
2/1/1996,13.34
3/1/1996,13.34
4/1/1996,13.34
5/1/1996,13.49
6/1/1996,13.8
7/1/1996,13.45
8/1/1996,13.38
9/1/1996,13.07
10/1/1996,13.14
11/1/1996,13.96
12/1/1996,14.55
1/1/1997,15.04
2/1/1997,15.45
3/1/1997,15.76
4/1/1997,16.09
5/1/1997,16.29
6/1/1997,16.49
7/1/1997,16.89
8/1/1997,16.6
9/1/1997,15.59
10/1/1997,16.16
11/1/1997,16.49
12/1/1997,16.53
1/1/1998,16.53
2/1/1998,16.53
3/1/1998,16.53
4/1/1998,16.53
5/1/1998,16.53
6/1/1998,16.76
7/1/1998,16.27
8/1/1998,15.87
9/1/1998,15.08
10/1/1998,14.15
11/1/1998,14.33
12/1/1998,14.33
1/1/1999,14.18
2/1/1999,14.11
3/1/1999,14.11
4/1/1999,14.24
5/1/1999,14.88
6/1/1999,14.99
7/1/1999,14.99
8/1/1999,15.05
9/1/1999,14.52
10/1/1999,14.44
11/1/1999,14.88
12/1/1999,14.88
1/1/2000,14.88
2/1/2000,14.88
3/1/2000,15.01
4/1/2000,15.1
5/1/2000,15.1
6/1/2000,15.1
7/1/2000,15.1
8/1/2000,15.1
9/1/2000,15.03
10/1/2000,15.21
11/1/2000,15.43
12/1/2000,15.56
1/1/2001,15.95
2/1/2001,16.31
3/1/2001,16.53
4/1/2001,16.53
5/1/2001,16.53
6/1/2001,16.53
7/1/2001,16.53
8/1/2001,15.43
9/1/2001,13.74
10/1/2001,13.12
11/1/2001,12.13
12/1/2001,11.65
1/1/2002,11.82
2/1/2002,11.57
3/1/2002,11.46
4/1/2002,9.7
5/1/2002,9.88
6/1/2002,9.92
7/1/2002,9.92
8/1/2002,9.92
9/1/2002,9.92
10/1/2002,10.25
11/1/2002,10.8
12/1/2002,11.02
1/1/2003,11.13
2/1/2003,12.13
3/1/2003,11.9
4/1/2003,11.68
5/1/2003,11.68
6/1/2003,11.68
7/1/2003,11.68
8/1/2003,11.35
9/1/2003,11.02
10/1/2003,11.02
11/1/2003,11.02
12/1/2003,10.95
1/1/2004,10.8
2/1/2004,10.8
3/1/2004,11.1
4/1/2004,11.24
5/1/2004,11.24
6/1/2004,9.92
7/1/2004,9.48
8/1/2004,9.48
9/1/2004,9.59
10/1/2004,9.59
11/1/2004,9.59
12/1/2004,9.81
1/1/2005,10.03
2/1/2005,10.38
3/1/2005,10.47
4/1/2005,10.47
5/1/2005,10.47
6/1/2005,10.47
7/1/2005,10.47
8/1/2005,10.44
9/1/2005,9.92
10/1/2005,10.03
11/1/2005,10.42
12/1/2005,10.47
1/1/2006,10.47
2/1/2006,10.47
3/1/2006,10.47
4/1/2006,10.47
5/1/2006,10.47
6/1/2006,10.47
7/1/2006,10.47
8/1/2006,10.47
9/1/2006,10.47
10/1/2006,9.51
11/1/2006,9.59
12/1/2006,9.51
1/1/2007,9.81
2/1/2007,9.92
3/1/2007,9.9
4/1/2007,10.03
5/1/2007,10.03
6/1/2007,10.03
7/1/2007,10.03
8/1/2007,10.03
9/1/2007,10.03
10/1/2007,10.03
11/1/2007,10.56
12/1/2007,10.75
1/1/2008,10.91
2/1/2008,11.05
3/1/2008,11.13
4/1/2008,11.13
5/1/2008,11.13
6/1/2008,11
7/1/2008,11
8/1/2008,10.3
9/1/2008,10.14
10/1/2008,10.14
11/1/2008,10.14
12/1/2008,10.14
1/1/2009,9.88
2/1/2009,9.7
3/1/2009,9.7
4/1/2009,9.7
5/1/2009,9.7
6/1/2009,9.7
7/1/2009,9.7
8/1/2009,9.7
9/1/2009,9.7
10/1/2009,9.37
11/1/2009,8.63
12/1/2009,7.94
1/1/2010,8.05
2/1/2010,8.38
3/1/2010,8.38
4/1/2010,8.65
5/1/2010,10.25
6/1/2010,10.04
7/1/2010,10.04
8/1/2010,10.04
9/1/2010,10.04
10/1/2010,11.79
11/1/2010,12.4
12/1/2010,12.46
1/1/2011,12.46
2/1/2011,12.46
3/1/2011,12.46
4/1/2011,12.46
5/1/2011,12.46
6/1/2011,12.4
7/1/2011,12.3
8/1/2011,12.24
9/1/2011,11.41
10/1/2011,11.02
11/1/2011,10.83
12/1/2011,10.69
1/1/2012,10.69
2/1/2012,10.47
3/1/2012,10.47
4/1/2012,9.92
5/1/2012,9.7
6/1/2012,9.7
7/1/2012,9.7
8/1/2012,9.7
9/1/2012,9.7
10/1/2012,9.81
11/1/2012,10.25
12/1/2012,10.66
1/1/2013,11.24
2/1/2013,11.57
3/1/2013,11.9
4/1/2013,12.37
5/1/2013,12.8
6/1/2013,13.71
7/1/2013,14.61
8/1/2013,15.65
9/1/2013,16.08
10/1/2013,16.46
11/1/2013,16.82
12/1/2013,16.87
1/1/2014,16.93
2/1/2014,16.98
3/1/2014,17.09
4/1/2014,17.66
5/1/2014,17.97
6/1/2014,18.15
7/1/2014,18.98
8/1/2014,19.25
9/1/2014,18.35
10/1/2014,17.5
11/1/2014,17.31
12/1/2014,17.38
1/1/2015,17.42
2/1/2015,17.48
3/1/2015,17.45
4/1/2015,16.93
5/1/2015,15.86
6/1/2015,13.79
7/1/2015,12.26
8/1/2015,10.39
9/1/2015,8.77
10/1/2015,8.71
11/1/2015,9.63
12/1/2015,9.89
1/1/2016,10.47
2/1/2016,10.8
3/1/2016,10.67
4/1/2016,10.53
5/1/2016,10.47
6/1/2016,10.47
7/1/2016,10.47
8/1/2016,10.84
9/1/2016,11.88
10/1/2016,12.29
11/1/2016,12.49
